t C_u^{tot} C_b^{tot} C_s^{tot} phi_i^{tot} phi_m^{tot} phi_{C_u}^{tot} phi_{C_b}^{tot} -F_{phi_i}(x=1) -F_{phi_{C_b}}(x=0) m j_{phi_i} state t_{inf}
0.000000e0 5.00000000e-2 0.00000000e0 0.00000000e0 4.00000688e-1 0.00000000e0 0.00000000e0 0.00000000e0 4.36561443e-4 -0.00000000e0 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.000250e-1 2.24681430e-1 3.89171479e-1 1.34370654e-2 3.99998798e-1 3.44612129e-5 3.06514634e-6 7.44646567e-6 4.36562133e-4 1.32910044e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
2.000250e-1 2.40896363e-1 8.13709162e-1 4.50853068e-2 3.99996909e-1 5.36725430e-5 5.13794342e-6 2.98660364e-5 4.36561268e-4 2.27022670e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
3.000250e-1 2.52260383e-1 1.19155195e0 9.23389551e-2 3.99995019e-1 6.69438430e-5 6.52406179e-6 5.81456665e-5 4.36560108e-4 2.92152439e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
4.000250e-1 2.62893875e-1 1.52678975e0 1.53097171e-1 3.99993130e-1 7.72007250e-5 7.85395368e-6 8.89055459e-5 4.36558799e-4 3.46215995e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
5.000250e-1 2.72930317e-1 1.82521848e0 2.25194129e-1 3.99991241e-1 8.55858493e-5 9.21274642e-6 1.21003890e-4 4.36557399e-4 3.93379964e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
6.000000e-1 2.82369288e-1 2.09175603e0 3.06166591e-1 3.99989352e-1 9.26686464e-5 1.06103890e-5 1.53910428e-4 4.36555940e-4 4.35376429e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
7.000000e-1 2.91220815e-1 2.33074906e0 3.93055771e-1 3.99987463e-1 9.87906628e-5 1.20466178e-5 1.87350396e-4 4.36554444e-4 4.73311022e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
8.000000e-1 2.99494680e-1 2.54569318e0 4.82002279e-1 3.99985573e-1 1.04173121e-4 1.35174698e-5 2.21132688e-4 4.36552927e-4 5.07972403e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
9.000000e-1 3.07208621e-1 2.73961020e0 5.68559668e-1 3.99983684e-1 1.08973691e-4 1.50185640e-5 2.55133505e-4 4.36551402e-4 5.39984536e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.000000e0 3.14384469e-1 2.91506607e0 6.48877605e-1 3.99981795e-1 1.13308849e-4 1.65454173e-5 2.89264777e-4 4.36549880e-4 5.69842089e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.100000e0 3.21046906e-1 3.07424552e0 7.20874872e-1 3.99979907e-1 1.17267335e-4 1.80937349e-5 3.23461564e-4 4.36548370e-4 5.97938367e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.200000e0 3.27222423e-1 3.21901462e0 7.84228439e-1 3.99978018e-1 1.20918304e-4 1.96595439e-5 3.57674674e-4 4.36546882e-4 6.24585917e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.300000e0 3.32938471e-1 3.35097321e0 8.39597524e-1 3.99976129e-1 1.24316604e-4 2.12392471e-5 3.91866055e-4 4.36545422e-4 6.50032949e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.400000e0 3.38222793e-1 3.47149843e0 8.87950099e-1 3.99974240e-1 1.27506360e-4 2.28296336e-5 4.26005774e-4 4.36543998e-4 6.74476638e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.500025e0 3.43104074e-1 3.58180730e0 9.30252196e-1 3.99972351e-1 1.30524236e-4 2.44282656e-5 4.60078464e-4 4.36542613e-4 6.98079657e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.600025e0 3.47606782e-1 3.68287902e0 9.67329912e-1 3.99970463e-1 1.33398285e-4 2.60318537e-5 4.94047840e-4 4.36541275e-4 7.20955389e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.700025e0 3.51758190e-1 3.77564483e0 9.99921227e-1 3.99968574e-1 1.36153822e-4 2.76386241e-5 5.27906753e-4 4.36539985e-4 7.43210092e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.800025e0 3.55583218e-1 3.86089594e0 1.02864436e0 3.99966686e-1 1.38811387e-4 2.92466904e-5 5.61642343e-4 4.36538747e-4 7.64924514e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.900025e0 3.59105570e-1 3.93932938e0 1.05402447e0 3.99964797e-1 1.41388296e-4 3.08544215e-5 5.95243986e-4 4.36537562e-4 7.86164107e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
2.000025e0 3.62347668e-1 4.01156195e0 1.07650795e0 3.99962909e-1 1.43899243e-4 3.24604122e-5 6.28702869e-4 4.36536433e-4 8.06982333e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
