t C_u^{tot} C_b^{tot} C_s^{tot} phi_i^{tot} phi_m^{tot} phi_{C_u}^{tot} phi_{C_b}^{tot} -F_{phi_i}(x=1) -F_{phi_{C_b}}(x=0) m j_{phi_i} state t_{inf}
0.000000e0 5.00000000e-2 0.00000000e0 0.00000000e0 4.00000688e-1 0.00000000e0 0.00000000e0 0.00000000e0 4.36561443e-4 -0.00000000e0 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.000250e-1 1.27089159e-1 2.42565429e-1 2.80897668e-3 3.99998798e-1 3.85855952e-5 1.75516007e-6 4.63241381e-6 4.36562133e-4 1.34344117e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
2.000250e-1 1.30485632e-1 4.74323257e-1 5.51802636e-3 3.99996909e-1 6.85792459e-5 2.75876647e-6 1.72885951e-5 4.36561268e-4 2.35948039e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
3.000250e-1 1.33048255e-1 6.73739572e-1 7.99897872e-3 3.99995019e-1 9.50029466e-5 3.43548838e-6 3.29926733e-5 4.36560107e-4 3.09898150e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
4.000250e-1 1.35352168e-1 8.45784198e-1 1.02796711e-2 3.99993130e-1 1.19323710e-4 4.06648866e-6 5.01629188e-5 4.36558794e-4 3.73470404e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
5.000250e-1 1.37429753e-1 9.94821187e-1 1.23801962e-2 3.99991240e-1 1.42172102e-4 4.69018733e-6 6.82118779e-5 4.36557385e-4 4.30379609e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
6.000000e-1 1.39302044e-1 1.12443396e0 1.43163327e-2 3.99989352e-1 1.63888880e-4 5.31379358e-6 8.68399405e-5 4.36555908e-4 4.82082762e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
7.000000e-1 1.40989980e-1 1.23767839e0 1.61036421e-2 3.99987463e-1 1.84704676e-4 5.93930012e-6 1.05881950e-4 4.36554379e-4 5.29548573e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
8.000000e-1 1.42511610e-1 1.33700021e0 1.77547848e-2 3.99985573e-1 2.04767238e-4 6.56657843e-6 1.25218668e-4 4.36552810e-4 5.73501242e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
9.000000e-1 1.43883940e-1 1.42445993e0 1.92816319e-2 3.99983684e-1 2.24190326e-4 7.19505332e-6 1.44768911e-4 4.36551208e-4 6.14548093e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.000000e0 1.45122435e-1 1.50177325e0 2.06948892e-2 3.99981795e-1 2.43062031e-4 7.82393566e-6 1.64471842e-4 4.36549579e-4 6.53191308e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.100000e0 1.46241067e-1 1.57037267e0 2.20042168e-2 3.99979906e-1 2.61452695e-4 8.45239330e-6 1.84279859e-4 4.36547927e-4 6.89843130e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.200000e0 1.47252396e-1 1.63145780e0 2.32183373e-2 3.99978018e-1 2.79419783e-4 9.07963076e-6 2.04154469e-4 4.36546254e-4 7.24839049e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.300000e0 1.48167671e-1 1.68603652e0 2.43451343e-2 3.99976129e-1 2.97011071e-4 9.70492495e-6 2.24063775e-4 4.36544565e-4 7.58450076e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.400000e0 1.48996938e-1 1.73495861e0 2.53917410e-2 3.99974240e-1 3.14266831e-4 1.03276384e-5 2.43980861e-4 4.36542861e-4 7.90893922e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.500025e0 1.49749331e-1 1.77895357e0 2.63648541e-2 3.99972351e-1 3.31225591e-4 1.09473751e-5 2.63887696e-4 4.36541143e-4 8.22352567e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.600025e0 1.50432444e-1 1.81861032e0 2.72698503e-2 3.99970462e-1 3.47908397e-4 1.15633575e-5 2.83754480e-4 4.36539414e-4 8.52949437e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.700025e0 1.51053565e-1 1.85446125e0 2.81123064e-2 3.99968573e-1 3.64345104e-4 1.21753486e-5 3.03568968e-4 4.36537674e-4 8.82803521e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.800025e0 1.51618997e-1 1.88695223e0 2.88970662e-2 3.99966685e-1 3.80558011e-4 1.27830233e-5 3.23316152e-4 4.36535925e-4 9.12003445e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.900025e0 1.52134346e-1 1.91646644e0 2.96285419e-2 3.99964796e-1 3.96566666e-4 1.33861158e-5 3.42982925e-4 4.36534168e-4 9.40620104e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
2.000025e0 1.52604600e-1 1.94333450e0 3.03107585e-2 3.99962908e-1 4.12388277e-4 1.39844115e-5 3.62557832e-4 4.36532404e-4 9.68710380e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
2.100025e0 1.53034197e-1 1.96784280e0 3.09473928e-2 3.99961019e-1 4.28038051e-4 1.45777401e-5 3.82030861e-4 4.36530633e-4 9.96320109e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
2.200025e0 1.53427095e-1 1.99024036e0 3.15418082e-2 3.99959131e-1 4.43529472e-4 1.51659694e-5 4.01393277e-4 4.36528857e-4 1.02348644e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
2.300025e0 1.53786819e-1 2.01074451e0 3.20970857e-2 3.99957242e-1 4.58874525e-4 1.57489994e-5 4.20637469e-4 4.36527076e-4 1.05023966e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
2.400025e0 1.54116520e-1 2.02954561e0 3.26160509e-2 3.99955354e-1 4.74083890e-4 1.63267577e-5 4.39756834e-4 4.36525291e-4 1.07660470e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
