t C_u^{tot} C_b^{tot} C_s^{tot} phi_i^{tot} phi_m^{tot} phi_{C_u}^{tot} phi_{C_b}^{tot} -F_{phi_i}(x=1) -F_{phi_{C_b}}(x=0) m j_{phi_i} state t_{inf}
0.000000e0 5.00000000e-2 0.00000000e0 0.00000000e0 4.00000688e-1 0.00000000e0 0.00000000e0 0.00000000e0 4.36561443e-4 -0.00000000e0 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.000250e-1 2.93902957e-1 4.89351183e-1 1.73096464e-2 3.99998798e-1 3.17265802e-5 3.95904518e-6 9.28730023e-6 4.36562133e-4 1.32303696e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
2.000250e-1 3.20215341e-1 1.04968725e0 5.70338769e-2 3.99996909e-1 4.45896982e-5 6.61553465e-6 3.74909003e-5 4.36561269e-4 2.23617699e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
3.000250e-1 3.39816650e-1 1.55360153e0 9.97249552e-2 3.99995019e-1 5.15536353e-5 8.32372567e-6 7.18059661e-5 4.36560117e-4 2.85473458e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
4.000250e-1 3.58556044e-1 2.00478779e0 1.35857088e-1 3.99993130e-1 5.61875837e-5 9.99751990e-6 1.07928984e-4 4.36558835e-4 3.36058605e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
5.000250e-1 3.76486877e-1 2.40952678e0 1.67166245e-1 3.99991241e-1 5.95970464e-5 1.17467796e-5 1.44731573e-4 4.36557497e-4 3.79738235e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
6.000000e-1 3.93530030e-1 2.77317667e0 1.94313257e-1 3.99989352e-1 6.22478275e-5 1.35808358e-5 1.81787082e-4 4.36556153e-4 4.18361066e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
7.000000e-1 4.09636094e-1 3.10058206e0 2.17879816e-1 3.99987463e-1 6.43908137e-5 1.54969271e-5 2.18912572e-4 4.36554839e-4 4.53085284e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
8.000000e-1 4.24762761e-1 3.39565377e0 2.38347408e-1 3.99985574e-1 6.61792262e-5 1.74876904e-5 2.55986558e-4 4.36553584e-4 4.84716232e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
9.000000e-1 4.38890585e-1 3.66184928e0 2.56136405e-1 3.99983685e-1 6.77163916e-5 1.95450199e-5 2.92941527e-4 4.36552413e-4 5.13871787e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.000000e0 4.52016592e-1 3.90216819e0 2.71608365e-1 3.99981796e-1 6.90755912e-5 2.16604030e-5 3.29734977e-4 4.36551345e-4 5.41029362e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.100000e0 4.64152064e-1 4.11922879e0 2.85074358e-1 3.99979907e-1 7.03108597e-5 2.38253541e-5 3.66339404e-4 4.36550393e-4 5.66560458e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.200000e0 4.75320266e-1 4.31533133e0 2.96802181e-1 3.99978018e-1 7.14631867e-5 2.60316848e-5 4.02736763e-4 4.36549567e-4 5.90755139e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.300000e0 4.85554216e-1 4.49250991e0 3.07022573e-1 3.99976130e-1 7.25643141e-5 2.82716730e-5 4.38915215e-4 4.36548870e-4 6.13840529e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.400000e0 4.94894561e-1 4.65257458e0 3.15934533e-1 3.99974242e-1 7.36391752e-5 3.05381651e-5 4.74867146e-4 4.36548304e-4 6.35995083e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.500025e0 5.03389654e-1 4.79717964e0 3.23711698e-1 3.99972353e-1 7.47077891e-5 3.28252035e-5 5.10596814e-4 4.36547865e-4 6.57364877e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.600025e0 5.11085506e-1 4.92771018e0 3.30498722e-1 3.99970465e-1 7.57853150e-5 3.51257571e-5 5.46083875e-4 4.36547547e-4 6.78050977e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.700025e0 5.18036962e-1 5.04552023e0 3.36426196e-1 3.99968577e-1 7.68844468e-5 3.74351513e-5 5.81336425e-4 4.36547341e-4 6.98148017e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.800025e0 5.24297671e-1 5.15180229e0 3.41605444e-1 3.99966690e-1 7.80149342e-5 3.97487676e-5 6.16354852e-4 4.36547237e-4 7.17727747e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
1.900025e0 5.29921198e-1 5.24763950e0 3.46132995e-1 3.99964802e-1 7.91842966e-5 4.20625840e-5 6.51140531e-4 4.36547222e-4 7.36848357e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
2.000025e0 5.34960106e-1 5.33401718e0 3.50092624e-1 3.99962915e-1 8.03981754e-5 4.43731390e-5 6.85695627e-4 4.36547286e-4 7.55557483e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
2.100025e0 5.39465237e-1 5.41183253e0 3.53557095e-1 3.99961028e-1 8.16606215e-5 4.66774915e-5 7.20022943e-4 4.36547415e-4 7.73894510e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
2.200025e0 5.43485163e-1 5.48190267e0 3.56589655e-1 3.99959142e-1 8.29743385e-5 4.89731767e-5 7.54125791e-4 4.36547597e-4 7.91892354e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
2.300025e0 5.47065799e-1 5.54497172e0 3.59245308e-1 3.99957255e-1 8.43408914e-5 5.12581629e-5 7.88007887e-4 4.36547822e-4 8.09578831e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
2.400025e0 5.50250144e-1 5.60171691e0 3.61571917e-1 3.99955369e-1 8.57608902e-5 5.35308069e-5 8.21673257e-4 4.36548078e-4 8.26977721e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
2.500025e0 5.53078145e-1 5.65275418e0 3.63611153e-1 3.99953483e-1 8.72341522e-5 5.57898110e-5 8.55126150e-4 4.36548356e-4 8.44109577e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
2.600025e0 5.55586643e-1 5.69864312e0 3.65399307e-1 3.99951597e-1 8.87598459e-5 5.80341824e-5 8.88370970e-4 4.36548647e-4 8.60992372e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
