t C_u^{tot} C_b^{tot} C_s^{tot} phi_i^{tot} phi_m^{tot} phi_{C_u}^{tot} phi_{C_b}^{tot} -F_{phi_i}(x=1) -F_{phi_{C_b}}(x=0) m j_{phi_i} state t_{inf}
2.300025e0 4.89072322e-1 5.13398298e0 4.53089483e-1 3.99957251e-1 9.94337736e-5 4.67418630e-5 7.75519256e-4 4.36542528e-4 8.24449690e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
2.400025e0 4.92218089e-1 5.19254383e0 4.56596050e-1 3.99955364e-1 1.00883077e-4 4.88046369e-5 8.09214138e-4 4.36542473e-4 8.42317625e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
2.500025e0 4.95055254e-1 5.24584746e0 4.59710030e-1 3.99953478e-1 1.02370508e-4 5.08577390e-5 8.42703014e-4 4.36542467e-4 8.59919927e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
2.600025e0 4.97611699e-1 5.29435965e0 4.62477380e-1 3.99951591e-1 1.03897855e-4 5.29002029e-5 8.75987623e-4 4.36542499e-4 8.77275238e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
2.700025e0 4.99913302e-1 5.33850552e0 4.64938376e-1 3.99949705e-1 1.05466222e-4 5.49312571e-5 9.09070021e-4 4.36542564e-4 8.94399994e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
2.800025e0 5.01983972e-1 5.37867319e0 4.67128367e-1 3.99947819e-1 1.07076120e-4 5.69503015e-5 9.41952526e-4 4.36542655e-4 9.11308827e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
2.900025e0 5.03845711e-1 5.41521704e0 4.69078414e-1 3.99945934e-1 1.08727564e-4 5.89568856e-5 9.74637667e-4 4.36542765e-4 9.28014883e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
3.000025e0 5.05518700e-1 5.44846055e0 4.70815848e-1 3.99944048e-1 1.10420146e-4 6.09506893e-5 1.00712814e-3 4.36542889e-4 9.44530066e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
3.100025e0 5.07021385e-1 5.47869903e0 4.72364741e-1 3.99942163e-1 1.12153107e-4 6.29315045e-5 1.03942676e-3 4.36543021e-4 9.60865237e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
3.200025e0 5.08370587e-1 5.50620193e0 4.73746317e-1 3.99940278e-1 1.13925404e-4 6.48992190e-5 1.07153644e-3 4.36543158e-4 9.77030365e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
3.300025e0 5.09581599e-1 5.53121506e0 4.74979308e-1 3.99938393e-1 1.15735757e-4 6.68538020e-5 1.10346014e-3 4.36543294e-4 9.93034653e-5 1.13865000e-3 4.55461000e-4 0 -1.000000e0
3.400025e0 5.10668300e-1 5.55396258e0 4.76080262e-1 3.99936509e-1 1.17582708e-4 6.87952906e-5 1.13520085e-3 4.36543428e-4 1.00888663e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
3.500025e0 5.11643259e-1 5.57464886e0 4.77063810e-1 3.99934624e-1 1.19464656e-4 7.07237786e-5 1.16676156e-3 4.36543557e-4 1.02459426e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
3.600025e0 5.12517836e-1 5.59346012e0 4.77942896e-1 3.99932740e-1 1.21379897e-4 7.26394060e-5 1.19814523e-3 4.36543677e-4 1.04016493e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
3.700025e0 5.13302289e-1 5.61056600e0 4.78728987e-1 3.99930856e-1 1.23326658e-4 7.45423495e-5 1.22935480e-3 4.36543788e-4 1.05560562e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
3.800025e0 5.14005862e-1 5.62612103e0 4.79432240e-1 3.99928973e-1 1.25303121e-4 7.64328150e-5 1.26039315e-3 4.36543887e-4 1.07092282e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
3.900025e0 5.14636880e-1 5.64026584e0 4.80061665e-1 3.99927089e-1 1.27307448e-4 7.83110303e-5 1.29126309e-3 4.36543974e-4 1.08612267e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
4.000025e0 5.15202829e-1 5.65312847e0 4.80625257e-1 3.99925206e-1 1.29337801e-4 8.01772391e-5 1.32196736e-3 4.36544047e-4 1.10121091e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
4.100025e0 5.15710439e-1 5.66482539e0 4.81130116e-1 3.99923323e-1 1.31392358e-4 8.20316958e-5 1.35250862e-3 4.36544106e-4 1.11619297e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
4.200025e0 5.16165751e-1 5.67546258e0 4.81582550e-1 3.99921441e-1 1.33469323e-4 8.38746612e-5 1.38288943e-3 4.36544151e-4 1.13107395e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
4.300025e0 5.16574189e-1 5.68513641e0 4.81988165e-1 3.99919558e-1 1.35566941e-4 8.57063987e-5 1.41311228e-3 4.36544182e-4 1.14585863e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
4.400025e0 5.16940617e-1 5.69393452e0 4.82351952e-1 3.99917676e-1 1.37683505e-4 8.75271714e-5 1.44317955e-3 4.36544197e-4 1.16055153e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
4.500025e0 5.17269395e-1 5.70193658e0 4.82678350e-1 3.99915794e-1 1.39817359e-4 8.93372390e-5 1.47309354e-3 4.36544199e-4 1.17515689e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
4.600025e0 5.17564432e-1 5.70921502e0 4.82971312e-1 3.99913912e-1 1.41966910e-4 9.11368566e-5 1.50285643e-3 4.36544186e-4 1.18967869e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
4.700025e0 5.17829230e-1 5.71583569e0 4.83234363e-1 3.99912030e-1 1.44130622e-4 9.29262721e-5 1.53247033e-3 4.36544159e-4 1.20412065e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
4.800025e0 5.18066925e-1 5.72185841e0 4.83470642e-1 3.99910149e-1 1.46307029e-4 9.47057258e-5 1.56193725e-3 4.36544119e-4 1.21848626e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
4.900025e0 5.18280327e-1 5.72733756e0 4.83682950e-1 3.99908267e-1 1.48494725e-4 9.64754487e-5 1.59125911e-3 4.36544065e-4 1.23277880e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
5.000025e0 5.18471952e-1 5.73232256e0 4.83873788e-1 3.99906386e-1 1.50692375e-4 9.82356624e-5 1.62043773e-3 4.36543999e-4 1.24700130e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
5.100025e0 5.18644052e-1 5.73685831e0 4.84045385e-1 3.99904505e-1 1.52898707e-4 9.99865782e-5 1.64947487e-3 4.36543921e-4 1.26115659e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
5.200025e0 5.18798646e-1 5.74098560e0 4.84199735e-1 3.99902625e-1 1.55112515e-4 1.01728397e-4 1.67837219e-3 4.36543832e-4 1.27524730e-4 1.13865000e-3 4.55461000e-4 0 -1.000000e0
